,phrase,label,sentiment,subjectivity,language,count
the Japan Meteorological Agency,the Japan Meteorological Agency,ORG,0.1088938714499253,0.27750373692077734,en,22.299999999999994
NASA,NASA,ORG,0.03391822638146167,0.7960877153891857,en,13.600000000000003
JMA,JMA,ORG,0.057960199004975115,0.17182835820895517,en,13.400000000000002
Meteorological Agency,Meteorological Agency,ORG,0.04766666666666666,0.17899999999999994,en,10.000000000000002
Trump,Trump,ORG,0.03620621802439982,0.1473829201101928,en,7.700000000000002
Iwate,Iwate,ORG,0.09001956947162426,0.2120026092628832,en,7.300000000000001
AP,AP,ORG,0.21759259259259256,0.597685185185185,en,7.200000000000001
Reuters,Reuters,ORG,0.061363636363636356,0.2734848484848485,en,5.5
KUALA LUMPUR,KUALA LUMPUR,ORG,0.12272727272727271,0.5590909090909091,en,5.5
the Japanese Meteorological Agency,the Japanese Meteorological Agency,ORG,0.13333333333333333,0.4303030303030303,en,5.5
SWOT,SWOT,ORG,0.16414141414141414,0.5459595959595961,en,5.5
CNN,CNN,ORG,-0.28985507246376807,0.3840579710144928,en,4.6
MetMalaysia,MetMalaysia,ORG,0.16485507246376813,0.31702898550724645,en,4.6
Mega Quake,Mega Quake,ORG,0.20506697408871327,0.34243247694334655,en,4.6
newsweek.com,newsweek.com,ORG,0.0,0.0,en,4.3999999999999995
Walmart,Walmart,ORG,0.24951550387596896,0.4118217054263566,en,4.3
The Japan Meteorological Agency,The Japan Meteorological Agency,ORG,0.07333333333333335,0.2794444444444445,en,3.9999999999999996
magnitude-7.5,magnitude-7.5,ORG,0.12162162162162161,0.3918918918918919,en,3.6999999999999997
The Malaysian Meteorological Department,The Malaysian Meteorological Department,ORG,0.08783783783783783,0.11486486486486489,en,3.6999999999999997
USGS,USGS,ORG,0.00040950040950039717,0.24160524160524158,en,3.6999999999999997
AI,AI,ORG,0.027027027027027035,0.11711711711711713,en,3.6999999999999997
Microsoft,Microsoft,ORG,0.11029411764705882,0.45343137254901955,en,3.4
World News,World News,ORG,0.02023809523809524,0.230952380952381,en,2.8
BBC,BBC,ORG,0.11755952380952382,0.13690476190476192,en,2.8
Columbia Memorial Hospital,Columbia Memorial Hospital,ORG,0.10044642857142858,0.3035714285714286,en,2.8
CBS News,CBS News,ORG,0.053571428571428575,0.11160714285714286,en,2.8
FEMA,FEMA,ORG,0.03571428571428572,0.14285714285714288,en,2.8
The New York Times,The New York Times,ORG,0.1461038961038961,0.3246753246753247,en,2.8
CBS Interactive Inc. All,CBS Interactive Inc. All,ORG,0.0,0.0,en,2.8
KYODO NEWS,KYODO NEWS,ORG,0.1551580859616574,0.2739254792826221,en,2.8
Google,Google,ORG,0.0625,0.35,en,2.5
Capcom,Capcom,ORG,0.041151515151515154,0.4482828282828284,en,2.4999999999999996
Japans Meteorological Agency,Japans Meteorological Agency,ORG,0.0,0.0,en,1.9
UN,UN,ORG,0.02982456140350877,0.0,en,1.9
the Malaysian Meteorological Department,the Malaysian Meteorological Department,ORG,0.4342105263157895,0.33771929824561403,en,1.9
GOP,GOP,ORG,-0.08187134502923979,0.152046783625731,en,1.9
Elon Musk,Elon Musk,ORG,0.08771929824561404,0.2923976608187135,en,1.9
AP News,AP News,ORG,0.15789473684210525,0.0,en,1.9
Starwood Capital Group,Starwood Capital Group,ORG,0.03947368421052632,0.0,en,1.9
NFL,NFL,ORG,0.10964912280701755,0.09210526315789473,en,1.9
Le média qui,Le média qui,ORG,-0.25087719298245614,0.4947368421052632,en,1.9
the National Audit Office,the National Audit Office,ORG,0.04385964912280702,0.1885964912280702,en,1.9
