,Mitigation,Hazard,Causes,Adaptation,Impacts,Invalid
2025-10-13,0.0,0.0,0,0.0,0.0,0.8
2025-10-14,0.9,0.9,0,0.0,0.9,1.6
2025-10-15,0.0,0.9,0,0.0,0.0,1.7999999999999998
2025-10-17,0.0,0.0,0,0.0,0.0,0.6
2025-10-20,0.0,0.0,0,0.0,0.0,0.9
2025-10-22,0.0,0.0,0,0.0,0.0,3.0
2025-10-23,0.9,0.9,0,0.9,0.0,1.0
2025-10-24,0.0,0.0,0,0.0,0.0,0.9
2025-10-28,0.9,0.9,0,0.0,0.0,0.0
2025-10-29,0.0,0.6,0,0.0,0.0,2.8
2025-10-30,0.6,0.6,0,0.0,0.0,0.0
2025-10-31,0.0,0.0,0,0.0,0.0,2.0
2025-11-05,0.9,1.8,0,0.0,0.0,0.0
2025-11-06,0.0,2.7,0,0.0,0.0,0.0
2025-11-07,0.0,0.0,0,0.0,0.0,1.6
2025-11-08,0.9,0.9,0,0.9,0.0,0.0
2025-11-09,1.8,14.300000000000004,0,0.0,0.0,0.7
2025-11-10,1.6,3.3,0,0.0,0.0,0.0
2025-11-11,0.0,0.7,0,0.0,0.0,1.0
2025-11-14,0.0,0.0,0,0.0,0.0,1.7000000000000002
2025-11-18,0.0,0.0,0,0.0,0.0,1.0
2025-11-22,0.0,0.0,0,0.0,0.0,1.0
2025-11-25,0.9,0.9,0,0.0,0.0,0.9
2025-11-27,1.8,2.7,0,0.9,0.0,0.0
2025-11-30,0.0,1.8,0,0.0,0.0,0.0
2025-12-02,0.0,2.7,0,0.0,0.0,0.0
2025-12-03,0.9,4.5,0,0.9,0.0,3.8
2025-12-04,0.0,1.8,0,0.0,0.0,0.7
2025-12-06,0.9,1.8,0,0.0,0.0,0.0
2025-12-07,1.8,2.7,0,0.0,0.0,0.7
2025-12-08,30.89999999999998,38.09999999999997,0,0.0,1.8,3.2
2025-12-09,10.600000000000001,15.100000000000003,0,0.0,0.9,3.5
2025-12-10,1.8,1.8,0,0.0,0.0,0.7
2025-12-11,0.0,0.0,0,0.0,0.0,1.4
2025-12-12,8.600000000000001,14.900000000000004,0,0.0,0.0,0.0
2025-12-14,0.9,1.6,0,0.0,0.0,0.0
2025-12-15,0.0,0.9,0,0.0,0.0,0.7
2025-12-16,0.9,1.8,0,0.0,0.0,0.7
2025-12-17,0.0,2.5,0,0.0,0.0,0.0
2025-12-18,0.0,0.9,0,0.0,0.0,0.7
2025-12-19,0.0,0.0,0,0.0,0.0,0.7
2025-12-21,0.0,0.9,0,0.0,0.0,0.0
2025-12-23,0.0,1.8,0,0.0,0.0,0.0
2025-12-24,0.0,0.9,0,0.0,0.0,0.7
2025-12-25,0.9,0.9,0,0.0,0.0,0.0
2025-12-26,0.0,4.3,0,0.0,0.0,0.7
2025-12-27,0.0,2.7,0,0.0,0.0,0.0
2025-12-28,0.0,0.9,0,0.0,0.0,0.7
2025-12-30,0.0,1.8,0,0.0,0.0,0.8
2025-12-31,0.9,3.4,0,0.0,0.0,0.7
2026-01-01,0.0,0.9,0,0.0,0.0,0.0
2026-01-02,0.0,0.0,0,0.0,0.0,2.0999999999999996
2026-01-03,0.0,0.0,0,0.0,0.0,1.5
2026-01-05,0.0,0.9,0,0.0,0.0,0.7
2026-01-06,2.7,9.000000000000002,0,0.0,0.0,0.7
2026-01-08,0.9,1.8,0,0.0,0.0,0.0
2026-01-09,0.9,1.8,0,0.0,0.0,0.7
2026-01-13,0.0,0.7,0,0.0,0.0,0.0
2026-01-15,0.0,0.0,0,0.0,0.0,0.7
2026-01-17,0.0,1.8,0,0.0,0.0,0.0
2026-01-18,0.0,1.8,0,0.0,0.0,0.0
2026-01-19,0.0,1.4,0,0.0,0.0,0.0
2026-01-20,0.0,0.9,0,0.0,0.0,0.0
2026-01-21,0.0,1.8,0,0.0,0.0,0.0
2026-01-22,0.0,0.9,0,0.0,0.0,0.0
2026-01-23,0.0,2.5,0,0.0,0.7,0.0
2026-01-26,0.9,1.6,0,0.9,0.0,0.0
2026-01-28,0.0,0.9,0,0.0,0.0,0.0
2026-01-29,0.9,0.9,0,0.0,0.0,0.0
2026-01-31,0.0,0.9,0,0.0,0.0,0.0
2026-02-04,0.0,2.3,0,0.0,0.0,0.0
2026-02-05,0.0,1.6,0,0.0,0.0,0.0
2026-02-08,0.0,0.9,0,0.0,0.0,0.0
2026-02-09,0.0,1.8,0,0.0,0.0,2.3
2026-02-10,0.0,0.7,0,0.0,0.0,0.7
2026-02-11,0.7,0.7,0,0.0,0.0,1.4
2026-02-12,0.0,1.4,0,0.0,0.0,0.0
2026-02-13,0.0,0.9,0,0.0,0.0,0.0
2026-02-14,0.0,0.7,0,0.0,0.0,0.0
2026-02-16,0.9,1.8,0,0.9,0.0,0.7
2026-02-17,0.9,1.8,0,0.9,0.0,0.7
2026-02-18,0.9,3.4,0,0.0,0.0,0.7
2026-02-19,0.0,2.7,0,0.0,0.0,0.0
2026-02-21,0.0,0.9,0,0.0,0.0,0.0
2026-02-22,0.0,0.9,0,0.0,0.0,0.0
2026-02-23,1.8,2.7,0,0.0,0.0,0.0
2026-02-24,0.0,2.3,0,0.0,0.0,0.0
2026-02-25,0.9,0.9,0,0.0,0.0,0.0
2026-02-27,0.0,0.7,0,0.0,0.0,0.0
2026-03-02,0.9,1.8,0,0.0,0.0,0.0
2026-03-03,0.0,3.4,0,0.0,0.0,1.5
2026-03-06,0.0,0.9,0,0.0,0.0,0.7
2026-03-07,0.0,1.8,0,0.0,0.0,0.0
2026-03-08,0.0,0.0,0,0.0,0.0,0.7
2026-03-09,0.0,1.8,0,0.0,0.0,0.0
2026-03-10,0.0,3.6,0,0.0,0.0,0.8
2026-03-11,0.0,9.000000000000002,0,0.0,0.0,0.7
2026-03-13,0.0,1.8,0,0.0,0.0,0.0
2026-03-14,0.0,1.6,0,0.0,0.7,0.0
2026-03-17,0.0,0.9,0,0.0,0.0,0.7
2026-03-18,0.0,0.7,0,0.0,0.0,1.4
2026-03-19,0.9,1.6,0,0.0,0.0,0.0
2026-03-20,0.0,1.4,0,0.7,0.0,0.7
2026-03-21,0.9,0.9,0,0.0,0.0,0.0
2026-03-22,0.0,0.0,0,0.0,0.0,0.7
2026-03-23,0.0,0.9,0,0.0,0.0,0.0
2026-03-24,1.8,1.8,0,0.0,0.0,0.7
2026-03-30,0.9,0.9,0,0.0,0.0,0.0
2026-04-01,3.6,3.6,0,0.0,0.0,0.0
2026-04-02,11.500000000000002,16.000000000000004,0,0.0,0.0,0.0
2026-04-06,0.9,0.9,0,0.0,0.0,0.0
2026-04-09,0.0,0.9,0,0.0,0.0,0.7
2026-04-12,0.9,0.9,0,0.0,0.0,0.0
2026-04-15,0.0,0.0,0,0.0,0.0,0.7
2026-04-16,0.0,0.0,0,0.0,0.0,0.7
2026-04-17,0.9,0.9,0,0.0,0.0,0.0
